counterparty_clean,canonical_counterparty,match_method,similarity_score,manual_review_required,cluster_id
Daniell Dickinson & Co,Daniell Dickinson & Co,exact,100,False,269
Darent & Co,Darent & Co,exact,100,False,270
"Davey, Thompson & Alder","Davey, Thompson & Alder",exact,100,False,271
David Evans & Co,David Evans & Co,exact,100,False,272
David Kidd & Son,David Kidd & Son,exact,100,False,273
David Lloyd,David Lloyd & Co,rapidfuzz_token_set_ratio,100,False,274
David Lloyd & Co,David Lloyd & Co,exact,100,False,274
David Sasson & Co Ld,David Sasson & Co Ld,exact,100,False,275
David Taylor & Sons,David Taylor & Sons,exact,100,False,276
Dawson Campbell & Co,Dawson Campbell & Co,exact,100,False,277
Dawson Worth,Dawson Worth,exact,100,False,278
De Jersey & Co,De Jersey & Co,exact,100,False,279
Delhi & London Bank Ltd,Delhi & London Bank Ltd,exact,100,False,280
Dennistoun Cross & Co,"Dennistoun, Cross & Co",rapidfuzz_token_set_ratio,100,False,281
"Dennistoun, Cross & Co","Dennistoun, Cross & Co",exact,100,False,281
Deutsche Bank,Deutsche Bank,exact,100,False,282
Dimsdale & Co,Dimsdale & Co,exact,100,False,283
Dinsdale Drewell & Co,Dinsdale Drewell & Co,exact,100,False,284
Direction Der Discounts,Direction Der Discounts,exact,100,False,285
Discount Corporation Limited,Discount Corporation Limited,exact,100,False,286
Do,Do,exact,100,False,287
Dominion Bank,Dominion Bank,exact,100,False,288
Donaldson Lambert & Co,Donaldson Lambert & Co,exact,100,False,289
"Drake, Kleinwort & Cohen","Drake, Kleinwort & Cohen",exact,100,False,290
Draper Pietroni & Co,Draper Pietroni & Co,exact,100,False,291
Dresdner Bank,Dresdner Bank,exact,100,False,292
Dudgeon & Co,Dudgeon & Co,exact,100,False,293
Dufay & Isnard,Dufay & Isnard,exact,100,False,294
"Dunbar, Dicksons & Co","Dunbar, Dicksons & Co",exact,100,False,295
Duncan Fox & Co,Duncan Fox & Co,exact,100,False,296
Durant & Co,Durant & Co,exact,100,False,297
Dwindale & Ho,Dwindale & Ho,exact,100,False,298
E & A Prior,E & A Prior,exact,100,False,299
E Beach Frn & Rep,E Beach Frn & Rep,exact,100,False,300
E Beach Sons & Co,E Beach Frn & Rep,rapidfuzz_token_set_ratio,100,False,300
E Bernouilli,E Bernouilli,exact,100,False,301
E Downs & Co,E Downs & Co,exact,100,False,302
E Girdham & Co,E Girdham & Co,exact,100,False,303
E H Brandts Son & Co,E H Brandts Son & Co,exact,100,False,304
E J Cole,E J Cole,exact,100,False,305
E Mansell + Ga Ellie & Co,E Mansell + Ga Ellie & Co,exact,100,False,306
E Sheldon & Co,E Sheldon & Co,exact,100,False,307
E Sieveking & Son,E Sieveking & Son,exact,100,False,308
